Name,Salary,Team,Position,Projected
Jerryd Bayless,3000,MIN,PG/SG,0
Ante Zizic,3700,CLE,C,13.66
Ed Davis,3500,BKN,C,14.82
Tony Bradley,3000,UTA,C,0
John Henson,3000,CLE,C,0
Jerian Grant,3100,ORL,PG,0
Milos Teodosic,3000,LAC,PG,0
Reggie Bullock,4400,DET,SG/SF,22.92
Jaylen Brown,4300,BOS,SG/SF,18.74
Kenrich Williams,3100,NO,SG/SF,0
Jacob Evans III,3000,GS,SG/SF,0
Kyle Anderson,5000,MEM,PG/SF,0
Avery Bradley,3600,LAC,SG,13.65
Yante Maten,3000,MIA,PF,0
Montrezl Harrell,7200,LAC,PF/C,34.28
Derrick Favors,5300,UTA,PF/C,28.08
Meyers Leonard,3400,POR,PF/C,15.47
Jon Leuer,3100,DET,PF/C,0
Cheick Diallo,3000,NO,PF/C,0
Jayson Tatum,6200,BOS,SF/PF,27.71
Derrick Jones Jr.,4200,MIA,SF/PF,18.4
Darius Miller,3400,NO,SF/PF,11.95
Mike Scott,3000,LAC,SF/PF,8.35
Stephen Curry,10000,GS,PG/SG,50.36
Caris LeVert,5800,BKN,PG/SG,0
Bryn Forbes,4400,SA,PG/SG,20.53
Jevon Carter,3500,MEM,PG/SG,13.67
Tim Frazier,3200,NO,PG/SG,3.52
Wade Baldwin IV,3000,POR,PG/SG,0
Hassan Whiteside,6500,MIA,C,29.32
Jakob Poeltl,3400,SA,C,16.3
Jahlil Okafor,3100,NO,C,7.98
Jeff Teague,5900,MIN,PG,28.2
Ish Smith,3600,DET,PG,14.52
Jared Terrell,3000,MIN,PG,0
Joe Harris,4900,BKN,SG/SF,24.44
Allen Crabbe,4000,BKN,SG/SF,0
Dion Waiters,3500,MIA,SG/SF,15.01
Dzanan Musa,3000,BKN,SG/SF,0
J.R. Smith,3000,CLE,SG/SF,0
Jerome Robinson,3000,LAC,SG,0
Ben Moore,3000,SA,PF,0
Nikola Mirotic,5900,NO,PF/C,29.25
Larry Nance Jr.,5800,CLE,PF/C,0
Zach Collins,3300,POR,PF/C,15.08
Kenneth Faried,3100,BKN,PF/C,0
Kevin Durant,10100,GS,SF/PF,53.77
Tobias Harris,7100,LAC,SF/PF,31.13
Jonathan Isaac,3700,ORL,SF/PF,17.51
Omri Casspi,3700,MEM,SF/PF,19.42
Solomon Hill,3000,NO,SF/PF,0
Semi Ojeleye,3000,BOS,SF/PF,2.64
Jordan Clarkson,5300,CLE,PG/SG,24.31
Reggie Jackson,5000,DET,PG/SG,23.29
Isaiah Briscoe,3400,ORL,PG/SG,9.91
Matthew Dellavedova,3400,CLE,PG/SG,14.26
Nazareth Mitrou-Long,3000,UTA,PG/SG,0
Rudy Gobert,8800,UTA,C,41.24
Zaza Pachulia,3300,DET,C,13.39
Boban Marjanovic,3100,LAC,C,1.24
D.J. Augustin,4800,ORL,PG,26.05
Collin Sexton,4500,CLE,PG,21.08
Isaiah Whitehead,3000,DET,PG,0
Josh Richardson,5900,MIA,SG/SF,28.23
Joe Ingles,5800,UTA,SG/SF,27.48
Marco Belinelli,3800,SA,SG/SF,18.94
Justin Holiday,3800,MEM,SG/SF,17.59
Wesley Johnson,3000,NO,SG/SF,0
Dillon Brooks,3000,MEM,SG/SF,0
Khyri Thomas,3000,DET,SG,0
Marcus Derrickson,3000,GS,SF,0
Quincy Pondexter,3000,SA,SF,0
Kevin Love,8100,CLE,PF/C,0
Julius Randle,7500,NO,PF/C,36.78
DeMarcus Cousins,5500,GS,PF/C,20.17
Bam Adebayo,4700,MIA,PF/C,24.81
Caleb Swanigan,3000,POR,PF/C,0
Guerschon Yabusele,3000,BOS,PF/C,1.2
Robert Covington,6000,MIN,SF/PF,0
Al-Farouq Aminu,5300,POR,SF/PF,30.07
Dante Cunningham,3000,SA,SF/PF,0
Jared Dudley,3000,BKN,SF/PF,0
Deng Adel,3000,CLE,SF/PF,0
Glenn Robinson III,3000,DET,SF/PF,0
Dante Exum,3800,UTA,PG/SG,0
Shai Gilgeous-Alexander,3600,LAC,PG/SG,14.45
Cameron Payne,3500,CLE,PG/SG,12.92
Grayson Allen,3300,UTA,PG/SG,9.94
Frank Jackson,3200,NO,PG/SG,6.82
Aron Baynes,3500,BOS,C,16.6
Joakim Noah,3400,MEM,C,12.15
Angel Delgado,3000,LAC,C,0
Timofey Mozgov,3000,ORL,C,0
Keenan Evans,3000,DET,PG,0
Kalin Lucas,3000,DET,PG,0
Terrence Ross,5400,ORL,SG/SF,26.8
Josh Okogie,4500,MIN,SG/SF,15.9
Melvin Frazier,3000,ORL,SG/SF,0
Theo Pinson,3000,BKN,SG/SF,0
Jabari Bird,3000,BOS,SG/SF,0
David Nwaba,3000,CLE,SG/SF,5.27
